name,energy,ip,ea,chi
mol1,-45235.76491704634,6.892553037552569,1.9552578960775981,4.423905466815083
mol10,-49324.075615141366,4.922839582669932,3.2119912254233025,4.067415404046617
mol1000,-66552.9662702916,6.516253452511459,2.0766089864370114,4.296431219474235
mol10000,-43630.66813009373,6.2855985578522935,1.9706496445542143,4.128124101203253
mol10001,-44762.21549645093,7.375476837347999,1.695317484865523,4.535397161106761
mol10002,-48221.34892549601,6.891429085130158,2.2861399294288476,4.588784507279502
mol10003,-32917.545480812856,5.715165944079655,3.7979796627750506,4.756572803427353
mol10004,-33703.15575493137,6.521761966531964,3.295867802968255,4.908814884750109
mol10007,-40817.20249412336,5.610025971568578,2.5393804013602326,4.074703186464405
mol10008,-38205.93449016602,6.476984045720534,2.2066024269833147,4.341793236351925
mol1001,-54523.716479977695,6.88149672634612,1.6273786009031657,4.254437663624644
mol10010,-49710.556790820345,5.120547218491326,-0.08608632017516915,2.517230449158078
mol10011,-41179.06732000759,6.380165183092932,1.246452125514972,3.8133086543039516
mol10012,-40207.22066270514,5.893553973291136,2.38169334591988,4.137623659605509
mol10013,-40179.184266078075,5.795159803984354,1.681722881961384,3.738441342972869
mol10014,-39108.24646325979,5.288270013461283,2.1228840280344325,3.7055770207478576
mol10015,-35956.69081352299,5.195956650224634,3.130350116647802,4.163153383436217
mol10016,-50057.01163227519,5.502486259408917,2.3713521692880715,3.9369192143484946
mol10017,-39025.01971742258,5.626013433060768,3.8191579179390582,4.722585675499913
mol10018,-33470.70111746871,5.62075461968325,1.3092249794582775,3.4649897995707635
mol10019,-32011.66590763912,6.714592542258686,1.7881586279705308,4.25137558511461
mol1002,-66835.95256582682,4.54254263230124,1.3847117971620353,2.9636272147316376
mol10020,-33470.53555596553,6.416178104135177,1.6270818396038917,4.021629971869534
mol10021,-45834.42285749467,5.475625475011692,3.107252986857097,4.291439230934395
mol10023,-41403.02576943443,7.29191118478775,2.755284556747938,5.023597870767844
mol10025,-32016.099476471478,7.494156261311705,2.6158084342246473,5.054982347768176
mol10027,-45178.74378303113,6.152293542353724,3.820658793459786,4.986476167906755
mol10028,-34409.62349710608,7.009841448325767,2.9947997621409495,5.002320605233359
mol10029,-37537.849168928755,6.167670613189091,1.9750716944459534,4.071371153817522
mol1003,-51236.60987578712,6.118867578615957,1.7691708302275877,3.944019204421773
mol10034,-39613.24243784254,6.567584854344257,1.4441057260535097,4.005845290198883
mol10035,-42632.64389230891,4.844912103215592,2.5065013115696524,3.675706707392622
mol1004,-54845.56729902967,5.680881897751544,1.587138116855775,3.6340100073036594
mol10045,-42666.69532549294,5.467702081560232,1.2270843567670022,3.347393219163617
mol10046,-41595.79777729371,4.878967772272681,2.7434518244749815,3.8112097983738313
mol10047,-45589.94293384112,6.500797837972641,1.4533061712936615,3.9770520046331512
mol1005,-53263.71755175777,6.968634224920665,2.906914816684233,4.937774520802449
mol10051,-41627.66035790974,4.905763643811087,1.5963869806712179,3.251075312241152
mol10052,-43480.66017819163,5.711265399380152,3.329853763187071,4.520559581283612
mol10058,-31172.658453225187,5.716045349880453,3.276560801263111,4.496303075571783
